Sub_L [mm];Sub_W [mm];Sub_H [mm];R_out [mm];Ring_W [mm];Gap_W [mm];S [mm];t [mm];MS_W [mm];Freq [GHz];S(1,1) (Real);S(1,1) (Imag);S(1,2) (Real);S(1,2) (Imag);S(2,1) (Real);S(2,1) (Imag);S(2,2) (Real);S(2,2) (Imag)
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.56;0.13475867168299677;-0.12418601469701665;-0.794134903915559;-0.5286331268726897;-0.7941349039155439;-0.528633126872683;0.07001698577561925;-0.16475339615248427
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.57;0.1330247827306935;-0.125923017003319;-0.8027626562274488;-0.5150759389297882;-0.8027626562274343;-0.5150759389297822;0.06640456340317694;-0.1660978223649348
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.58;0.13126978754184992;-0.12762544544138812;-0.8111652118184807;-0.5013715227843644;-0.811165211818466;-0.5013715227843585;0.0627504966762372;-0.16736316164622814
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.59;0.12949477167698242;-0.1292931851518181;-0.8193399541540362;-0.48752332066206394;-0.8193399541540212;-0.4875233206620579;0.059056518661032;-0.16854830279314575
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.6;0.12770081685487833;-0.13092615885229508;-0.8272843099090393;-0.4735348221400466;-0.8272843099090249;-0.47353482214004083;0.05532438537333465;-0.16965217164322435
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.61;0.12588899974395873;-0.13252432664233377;-0.8349957498085109;-0.4594095638700246;-0.8349957498084968;-0.45940956387001936;0.051555874952615106;-0.1706737313146013
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.62;0.12406039075972859;-0.1340876857718783;-0.8424717894754115;-0.44515112928562633;-0.8424717894753961;-0.4451511292856207;0.04775278684236862;-0.17161198242239542
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.63;0.12221605286940487;-0.13561627037392468;-0.8497099902852864;-0.4307631482936296;-0.8497099902852734;-0.4307631482936249;0.043916940977497675;-0.1724659632720331
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.64;0.12035704040478062;-0.1371101511613601;-0.8567079602272308;-0.4162492969486391;-0.8567079602272174;-0.4162492969486341;0.04005017697961927;-0.17323475002995134
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.65;0.11848439788440251;-0.13856943508824957;-0.863463354770611;-0.4016132971107906;-0.8634633547705979;-0.4016132971107857;0.03615435336116845;-0.17391745687215798
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.66;0.11659915884612858;-0.139994264975831;-0.8699738777370536;-0.386858916086126;-0.8699738777370402;-0.38685891608612116;0.03223134673914869;-0.174513236111145
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.67;0.11470234469111681;-0.14138481910351425;-0.8762372821771142;-0.371989966249262;-0.876237282177101;-0.37198996624925773;0.028283051059376847;-0.17502127830170655
